iter	RMSE
0	2.113141187
1	2.027902766
2	1.959595061
3	1.901114605
4	1.848688154
5	1.804540519
6	1.766196537
7	1.735355028
8	1.707685355
9	1.684437686
10	1.663930446
11	1.648208543
12	1.633270199
13	1.62024985
14	1.61028551
15	1.599685195
16	1.590874883
17	1.583650812
18	1.577124424
19	1.570024744
20	1.564038292
21	1.557951158
22	1.553734088
23	1.549372895
24	1.545400932
25	1.541901865
26	1.538578246
27	1.535123285
28	1.532175637
29	1.530310663
30	1.527460909
31	1.525233896
32	1.523395208
33	1.521384201
34	1.518772343
35	1.516940851
36	1.515062518
37	1.513242724
38	1.511334266
39	1.509719692
40	1.508369673
41	1.506561041
42	1.50479451
43	1.503653814
44	1.501500972
45	1.499919004
46	1.499096677
47	1.498474619
48	1.497394038
49	1.496147001
50	1.49502191
51	1.493603444
52	1.492628262
53	1.491658782
54	1.491022994
55	1.489684791
56	1.487552159
57	1.486566471
58	1.485508219
59	1.484621961
60	1.483861123
61	1.483097533
62	1.482278679
63	1.481438364
64	1.480429997
65	1.478155478
66	1.47712584
67	1.47540129
68	1.474972177
69	1.474003007
70	1.473348578
71	1.472360781
72	1.470897909
73	1.470006257
74	1.469110848
75	1.46865789
76	1.467768398
77	1.466343571
78	1.465801777
79	1.46495276
80	1.463579931
81	1.462956659
82	1.461399494
83	1.460537654
84	1.458804711
85	1.457344779
86	1.456390786
87	1.455204775
88	1.454459955
89	1.453250286
90	1.452362851
91	1.451203317
92	1.450740721
93	1.449437143
94	1.448232825
95	1.446741087
96	1.445741164
97	1.444316921
98	1.4436117
99	1.442920239
100	1.441977852
101	1.441342106
102	1.439994559
103	1.439119812
104	1.438042091
105	1.436591487
106	1.43522708
107	1.434005128
108	1.432430887
109	1.430776305
110	1.429501332
111	1.428760577
112	1.427841156
113	1.425885391
114	1.424708319
115	1.424184804
116	1.423237768
117	1.422485092
118	1.421076928
119	1.420648079
120	1.419818429
121	1.419149588
122	1.418545196
123	1.418067754
124	1.417321112
125	1.415494919
126	1.414493122
127	1.414217036
128	1.413210959
129	1.41257676
130	1.41197816
131	1.411506483
132	1.410803086
133	1.410338597
134	1.409862042
135	1.409260837
136	1.408437135
137	1.40778363
138	1.406976907
139	1.406651155
140	1.405995437
141	1.40538144
142	1.404864695
143	1.403854355
144	1.402731449
145	1.401840787
146	1.401176092
147	1.400528993
148	1.399548384
149	1.398964779
150	1.398146129
151	1.397735358
152	1.397272777
153	1.396972495
154	1.396476309
155	1.395171382
156	1.394248314
157	1.392801796
158	1.392074145
159	1.391343129
160	1.390716028
161	1.390189059
162	1.388897126
163	1.388501065
164	1.387775278
165	1.387304742
166	1.386566182
167	1.385750419
168	1.384850752
169	1.383932131
170	1.383449728
171	1.382924739
172	1.382511117
173	1.382123642
174	1.381441958
175	1.380761292
176	1.380269862
177	1.3797385
178	1.378572917
179	1.377916943
180	1.376889372
181	1.375979033
182	1.374913006
183	1.374107291
184	1.373569704
185	1.37298865
186	1.372573295
187	1.372131945
188	1.371978613
189	1.37166154
190	1.370885741
191	1.370100972
192	1.369496734
193	1.368914681
194	1.36844287
195	1.367760685
196	1.367155759
197	1.3665899
198	1.365184599
199	1.364640503
200	1.364069637
201	1.363402902
202	1.362836395
203	1.361887311
204	1.361436549
205	1.360812514
206	1.360316383
207	1.360218097
208	1.359784762
209	1.359126255
210	1.358652462
211	1.357626153
212	1.357178229
213	1.356754599
214	1.356300255
215	1.356107695
216	1.355736582
217	1.355060963
218	1.354444411
219	1.35419545
220	1.353995251
221	1.353607758
222	1.353074503
223	1.352464282
224	1.351908915
225	1.351538642
226	1.351064494
227	1.350767515
228	1.350418986
229	1.349804262
230	1.349436636
231	1.349270171
232	1.348360308
233	1.347908335
234	1.347605934
235	1.34699494
236	1.345928054
237	1.345650038
238	1.344871148
239	1.344041214
240	1.343698452
241	1.343341422
242	1.342986946
243	1.342382874
244	1.34192885
245	1.341472364
246	1.341018506
247	1.340754079
248	1.340661074
249	1.34000429
250	1.339538273
251	1.338934737
252	1.338406397
253	1.338124814
254	1.337672565
255	1.337424742
256	1.337208938
257	1.336690529
258	1.336422881
259	1.335756213
260	1.335636029
261	1.335230211
262	1.335081667
263	1.334549633
264	1.334135866
265	1.333688545
266	1.333370855
267	1.332986258
268	1.332663566
269	1.332236455
270	1.331402982
271	1.330861031
272	1.330512202
273	1.330288807
274	1.329398734
275	1.328937724
276	1.328498751
277	1.328328305
278	1.327964797
279	1.327661385
280	1.327422886
281	1.327207913
282	1.326689602
283	1.325976587
284	1.325507253
285	1.325306892
286	1.324948599
287	1.324479802
288	1.324043225
289	1.323526701
290	1.323323797
291	1.322988872
292	1.322551777
293	1.322093407
294	1.321513346
295	1.32119607
296	1.320726447
297	1.320554409
298	1.320382118
299	1.319996455
300	1.319795109
301	1.319492786
302	1.318999475
303	1.318754014
304	1.318284338
305	1.318105163
306	1.317666605
307	1.317454967
308	1.316790729
309	1.316487475
310	1.316145137
311	1.315694557
312	1.315257921
313	1.314725915
314	1.314321046
315	1.313817251
316	1.313106474
317	1.312847245
318	1.312408781
319	1.312089083
320	1.311478176
321	1.311233697
322	1.311011362
323	1.310583579
324	1.309829608
325	1.309268368
326	1.308735296
327	1.308353414
328	1.30815068
329	1.307875646
330	1.307862846
331	1.307588209
332	1.307264888
333	1.306838787
334	1.306699142
335	1.306269872
336	1.305857959
337	1.305730178
338	1.305280589
339	1.304677017
340	1.304270577
341	1.303757827
342	1.303654614
343	1.303164677
344	1.302938568
345	1.302669886
346	1.302231115
347	1.301993947
348	1.301588059
349	1.301151712
350	1.300900898
351	1.300594237
352	1.299877016
353	1.299293115
354	1.298851794
355	1.298224195
356	1.298052467
357	1.297738696
358	1.297367752
359	1.296906782
360	1.296414224
361	1.296284983
362	1.295844368
363	1.295774266
364	1.295545581
365	1.295261538
366	1.295125618
367	1.295102886
368	1.294836298
369	1.29457364
370	1.294180842
371	1.293979642
372	1.293504026
373	1.293278392
374	1.293003831
375	1.292645342
376	1.292092401
377	1.291518638
378	1.291268934
379	1.290825239
380	1.290500594
381	1.290134581
382	1.289874711
383	1.28939863
384	1.288847449
385	1.288775215
386	1.288470055
387	1.288091025
388	1.287729003
389	1.28705394
390	1.286771563
391	1.286488083
392	1.286107543
393	1.285756513
394	1.285167449
395	1.284926752
396	1.284704875
397	1.284569558
398	1.284566323
399	1.284339949
400	1.283834485
401	1.283526273
402	1.283444368
403	1.283086401
404	1.282850266
405	1.282500988
406	1.282169674
407	1.281735523
408	1.281602765
409	1.281343419
410	1.281075426
411	1.280525476
412	1.280206442
413	1.279643117
414	1.279416701
415	1.279068487
416	1.278804664
417	1.278621338
418	1.27828253
419	1.277965005
420	1.277625581
421	1.2772147
422	1.276646686
423	1.276377988
424	1.275976699
425	1.275812791
426	1.275749507
427	1.27546083
428	1.275180615
429	1.275043009
430	1.274710577
431	1.274460928
432	1.274225162
433	1.273644058
434	1.273426084
435	1.272720305
436	1.272400083
437	1.272040657
438	1.271818755
439	1.271344969
440	1.271217247
441	1.270817052
442	1.270406968
443	1.270156433
444	1.269771663
445	1.269335361
446	1.269128948
447	1.268808507
448	1.268447274
449	1.268166678
450	1.267942116
451	1.267713954
452	1.267170339
453	1.266897782
454	1.266628668
455	1.266439985
456	1.266150047
457	1.265674097
458	1.265285499
459	1.264789258
460	1.264396841
461	1.264137895
462	1.263790203
463	1.263473629
464	1.263178503
465	1.263057496
466	1.262783366
467	1.262613786
468	1.262490411
469	1.262181811
470	1.261917924
471	1.261693246
472	1.261631183
473	1.261309019
474	1.260847586
475	1.260551254
476	1.260276209
477	1.260152762
478	1.2598663
479	1.259832599
480	1.259554724
481	1.259185136
482	1.258718294
483	1.258656527
484	1.258501048
485	1.258121493
486	1.257836799
487	1.257701639
488	1.257465149
489	1.257352933
490	1.257295322
491	1.256949621
492	1.256676747
493	1.256465013
494	1.256073669
495	1.25588885
496	1.255398036
497	1.255278978
498	1.255268641
499	1.25484363
500	1.254549803
501	1.254107422
502	1.253796173
503	1.253504053
504	1.253134426
505	1.252887281
506	1.252470771
507	1.252183529
508	1.251887587
509	1.251444798
510	1.251110694
511	1.250488993
512	1.250190384
513	1.24996955
514	1.249556774
515	1.24917682
516	1.248831241
517	1.248493516
518	1.248353049
519	1.248189869
520	1.247865915
521	1.247722259
522	1.247278808
523	1.246900731
