area,condo_complex,bathrooms,new_address,legal_status,furniture_state,frontage,floors,bedrooms
80.0,0,,"Bình Tân, Hồ Chí Minh",Have certificate,Basic,12.0,2.0,4.0
51.0,0,5.0,"Cầu Giấy, Hà Nội",Have certificate,,5.0,5.0,4.0
36.1,0,2.0,"Bình Thạnh, Hồ Chí Minh",Have certificate,,3.0,2.0,2.0
483.0,0,3.0,"Nha Trang, Khánh Hòa",Have certificate,Full,18.0,2.0,4.0
32.0,0,4.0,"Hà Đông, Hà Nội",Have certificate,Full,,5.0,3.0
76.0,0,4.0,"Thủ Đức, Hồ Chí Minh",,Basic,4.2,4.0,4.0
35.0,0,3.0,"Thanh Oai, Hà Nội",Have certificate,Basic,,4.0,3.0
86.0,0,1.0,"Nha Trang, Khánh Hòa",Have certificate,Basic,4.0,2.0,2.0
122.0,0,6.0,"Thủ Đức, Hồ Chí Minh",Have certificate,,,,6.0
100.0,1,4.0,"Nha Trang, Khánh Hòa",Have certificate,,,3.0,4.0
60.0,0,3.0,"Thanh Khê, Đà Nẵng",Have certificate,Full,6.0,3.0,3.0
85.0,1,3.0,"Bến Lức, Long An",Have certificate,,5.0,3.0,4.0
119.0,0,3.0,"Thủ Dầu Một, Bình Dương",,Basic,,3.0,5.0
72.0,0,5.0,"Đống Đa, Hà Nội",Have certificate,Full,43.0,4.0,5.0
82.5,0,3.0,"Quận 7, Hồ Chí Minh",Have certificate,,,2.0,2.0
31.0,0,3.0,"Hà Đông, Hà Nội",Have certificate,Basic,,5.0,3.0
34.0,0,4.0,"Thanh Trì, Hà Nội",Have certificate,Full,,4.0,3.0
376.5,0,,"Long Thành, Đồng Nai",Have certificate,Full,10.0,,
33.0,0,3.0,"Huyện Chương Mỹ, Hà Nội",Have certificate,Basic,3.3,3.0,3.0
38.0,0,,"Hoàng Mai, Hà Nội",Have certificate,,,5.0,
40.0,0,2.0,"Nam Từ Liêm, Hà Nội",Have certificate,,3.0,3.0,2.0
125.0,1,5.0,"Liên Chiểu, Đà Nẵng",Have certificate,Basic,6.0,3.0,5.0
32.0,0,,"Hoài Đức, Hà Nội",Have certificate,Full,,5.0,3.0
208.0,0,2.0,"Cần Đước, Long An",Have certificate,Basic,8.0,1.0,2.0
54.4,0,4.0,"Thủ Đức, Hồ Chí Minh",Have certificate,,4.1,,4.0
39.0,0,,"Thanh Xuân, Hà Nội",Have certificate,,,,
32.0,0,2.0,"Quận 6, Hồ Chí Minh",Have certificate,,3.2,2.0,2.0
51.0,0,,"Biên Hòa, Đồng Nai",Have certificate,,,,
132.0,0,1.0,"Quận 12, Hồ Chí Minh",Have certificate,Basic,5.5,1.0,1.0
35.0,0,3.0,"Bình Tân, Hồ Chí Minh",Have certificate,Full,4.0,3.0,3.0
200.0,0,3.0,"Biên Hòa, Đồng Nai",Have certificate,,9.6,2.0,4.0
44.0,0,4.0,"Hoài Đức, Hà Nội",Have certificate,Basic,4.5,4.0,4.0
48.0,0,4.0,"Hai Bà Trưng, Hà Nội",Have certificate,Full,4.1,5.0,4.0
151.0,0,3.0,"Quận 8, Hồ Chí Minh",Have certificate,,,,2.0
33.0,0,4.0,"Long Biên, Hà Nội",Have certificate,Basic,3.4,5.0,3.0
32.0,0,5.0,"Nam Từ Liêm, Hà Nội",Have certificate,,,6.0,4.0
25.0,0,1.0,"Hoàng Mai, Hà Nội",Have certificate,Full,,1.0,2.0
112.0,0,7.0,"Thủ Đức, Hồ Chí Minh",Have certificate,,4.0,,7.0
56.0,0,3.0,"Bình Tân, Hồ Chí Minh",Have certificate,Basic,4.0,3.0,3.0
48.0,0,5.0,"Thanh Xuân, Hà Nội",Have certificate,Basic,5.0,6.0,4.0
100.0,0,2.0,"Biên Hòa, Đồng Nai",Have certificate,Basic,5.0,1.0,3.0
85.0,0,3.0,"Hóc Môn, Hồ Chí Minh",Have certificate,Full,,,4.0
22.0,0,,"Hoàng Mai, Hà Nội",Have certificate,Full,,4.0,
56.5,0,3.0,"Quận 4, Hồ Chí Minh",Have certificate,,,3.0,4.0
60.0,0,,"Hai Bà Trưng, Hà Nội",Have certificate,,7.3,5.0,
130.0,0,1.0,"Buôn Ma Thuột, Đắk Lắk",Have certificate,Basic,5.0,,3.0
56.0,0,3.0,"Gò Vấp, Hồ Chí Minh",Have certificate,Basic,4.0,4.0,5.0
47.0,0,5.0,"Quận 8, Hồ Chí Minh",Have certificate,,4.0,3.0,5.0
110.0,0,2.0,"Dĩ An, Bình Dương",Have certificate,,,,3.0
37.0,0,4.0,"Long Biên, Hà Nội",Have certificate,Full,,5.0,3.0
24.7,0,,"Quận 3, Hồ Chí Minh",Have certificate,,,4.0,4.0
39.0,0,,"Bắc Từ Liêm, Hà Nội",Have certificate,,,5.0,
80.0,1,3.0,"Bình Chánh, Hồ Chí Minh",Have certificate,Basic,,3.0,3.0
60.0,0,2.0,"Ba Đình, Hà Nội",Have certificate,Basic,,3.0,3.0
37.0,0,3.0,"Thanh Xuân, Hà Nội",Have certificate,Full,,4.0,3.0
117.0,1,4.0,"Biên Hòa, Đồng Nai",Sale contract,,6.0,3.0,4.0
55.0,0,,"Thủ Đức, Hồ Chí Minh",Have certificate,,,,3.0
60.0,0,4.0,"Ngũ Hành Sơn, Đà Nẵng",Have certificate,Full,5.0,4.0,4.0
85.0,0,2.0,"Quảng Ngãi, Quảng Ngãi",Have certificate,,8.0,1.0,3.0
42.0,0,4.0,"Cầu Giấy, Hà Nội",Have certificate,Full,4.0,4.0,4.0
157.0,1,1.0,"Quận 7, Hồ Chí Minh",Have certificate,Basic,,,
45.0,0,,"Thanh Trì, Hà Nội",Have certificate,,6.0,4.0,
42.0,0,4.0,"Long Biên, Hà Nội",Have certificate,,,5.0,4.0
82.0,0,4.0,"Tây Hồ, Hà Nội",Have certificate,Full,5.5,4.0,4.0
90.0,1,,"Thủ Dầu Một, Bình Dương",,,,3.0,
60.0,0,4.0,"Gò Vấp, Hồ Chí Minh",Have certificate,Full,,4.0,4.0
80.0,0,5.0,"Gò Vấp, Hồ Chí Minh",Have certificate,Full,,4.0,4.0
118.0,0,,"Quận 12, Hồ Chí Minh",Have certificate,,,,2.0
46.0,0,,"Bắc Từ Liêm, Hà Nội",,Full,,7.0,
50.0,0,,"Cầu Giấy, Hà Nội",Have certificate,Full,,,
50.0,0,,"Hà Đông, Hà Nội",Have certificate,,,5.0,
18.0,0,2.0,"Bình Thạnh, Hồ Chí Minh",Have certificate,,3.0,2.0,1.0
82.0,0,3.0,"Thuận An, Bình Dương",Have certificate,,,3.0,3.0
87.5,0,2.0,"An Dương, Hải Phòng",Have certificate,,5.7,2.0,3.0
85.0,1,3.0,"Quận 2, Hồ Chí Minh",Have certificate,Basic,,2.0,4.0
100.0,0,2.0,"Quận 12, Hồ Chí Minh",Have certificate,Basic,,2.0,3.0
100.0,0,7.0,"Ngũ Hành Sơn, Đà Nẵng",Have certificate,,,4.0,7.0
56.0,0,5.0,"Quận 12, Hồ Chí Minh",Have certificate,Basic,4.0,3.0,4.0
75.0,1,,"Quận 9, Hồ Chí Minh",,,5.0,3.0,
62.0,0,2.0,"Dĩ An, Bình Dương",Have certificate,,12.0,2.0,3.0
38.0,0,2.0,"Quận 7, Hồ Chí Minh",Have certificate,,,,2.0
