area,frontage,access_road,house_direction,balcony_direction,floors,bedrooms,bathrooms,legal_status,furniture_state,price,new_address,condo_complex
50.0,3.6,3.0,,,3.0,3.0,3.0,Have certificate,Full,7.68,"Nam Từ Liêm, Hà Nội",0
52.0,4.0,6.0,Đông - Nam,Đông - Nam,5.0,5.0,4.0,Have certificate,Basic,5.95,"Bình Tân, Hồ Chí Minh",0
43.0,,,Đông - Bắc,,4.0,3.0,3.0,Have certificate,,3.89,"Hải Châu, Đà Nẵng",0
47.0,,30.0,Đông - Bắc,Đông - Bắc,1.0,1.0,1.0,Sale contract,,7.5,"Quận 9, Hồ Chí Minh",1
66.0,,,,,3.0,3.0,4.0,,,4.55,"Quận 12, Hồ Chí Minh",0
80.0,5.0,4.0,,,2.0,2.0,2.0,Have certificate,Basic,3.35,"Quận 12, Hồ Chí Minh",0
25.6,9.0,15.0,,,2.0,2.0,2.0,Have certificate,,2.8,"Hai Bà Trưng, Hà Nội",0
56.0,4.5,2.5,,,2.0,2.0,2.0,Have certificate,Full,3.55,"Quận 12, Hồ Chí Minh",0
61.0,4.23,6.0,Đông - Bắc,,4.0,4.0,4.0,Have certificate,Basic,6.5,"Thủ Đức, Hồ Chí Minh",0
100.0,5.0,10.0,,,2.0,2.0,2.0,Have certificate,Basic,6.9,"Sơn Trà, Đà Nẵng",0
28.0,,,,,5.0,4.0,,Have certificate,Full,5.8,"Đống Đa, Hà Nội",0
33.0,,,,,4.0,4.0,3.0,,,5.9,"Gò Vấp, Hồ Chí Minh",0
54.0,,4.0,,,3.0,3.0,3.0,Have certificate,Full,4.5,"Gò Vấp, Hồ Chí Minh",0
38.0,6.0,,,,1.0,1.0,1.0,Have certificate,Full,3.8,"Bắc Từ Liêm, Hà Nội",0
66.0,,,,,2.0,3.0,3.0,Have certificate,,6.2,"Thủ Đức, Hồ Chí Minh",0
48.0,4.0,4.0,,,4.0,5.0,4.0,Have certificate,Full,8.6,"Nam Từ Liêm, Hà Nội",0
150.0,7.5,8.0,,,1.0,2.0,2.0,Have certificate,,10.0,"Vũng Tàu, Bà Rịa Vũng Tàu",0
70.0,4.0,,Đông - Nam,,5.0,6.0,3.0,Have certificate,,9.0,"Ba Đình, Hà Nội",0
35.0,,,,,5.0,6.0,5.0,,,6.5,"Đống Đa, Hà Nội",0
60.0,,,,,1.0,2.0,2.0,Have certificate,Basic,5.0,"Thủ Đức, Hồ Chí Minh",0
46.0,4.0,,,,5.0,4.0,3.0,Have certificate,Full,6.75,"Thanh Xuân, Hà Nội",0
90.0,,,,,3.0,3.0,4.0,Have certificate,Full,9.3,"Quận 9, Hồ Chí Minh",1
36.68,,,Bắc,Bắc,2.0,2.0,2.0,Have certificate,Basic,4.8,"Tân Phú, Hồ Chí Minh",0
30.0,,,,,4.0,,,Have certificate,,4.5,"Hoàng Mai, Hà Nội",0
71.5,4.5,,Bắc,,3.0,4.0,5.0,Have certificate,,6.3,"Bình Tân, Hồ Chí Minh",0
68.0,,,,,,,,,,8.0,"Gia Lâm, Hà Nội",1
48.0,3.85,6.0,Đông - Nam,Đông - Nam,4.0,4.0,3.0,Have certificate,,6.1,"Tân Phú, Hồ Chí Minh",0
52.0,4.0,6.0,,,3.0,3.0,2.0,Have certificate,,6.0,"Thủ Đức, Hồ Chí Minh",0
55.0,7.0,,Đông,,,,,Sale contract,Basic,5.4,"Bình Thạnh, Hồ Chí Minh",0
38.0,,,,,5.0,4.0,4.0,Have certificate,Basic,5.5,"Nam Từ Liêm, Hà Nội",0
48.0,4.0,50.0,,,5.0,5.0,4.0,Have certificate,Full,6.8,"Thanh Xuân, Hà Nội",0
100.0,,10.5,Tây - Nam,,3.0,4.0,3.0,,,6.5,"Cẩm Lệ, Đà Nẵng",0
34.0,3.5,4.0,,,2.0,,,Have certificate,,4.4,"Quận 8, Hồ Chí Minh",0
117.0,,60.0,,,3.0,4.0,4.0,Sale contract,,6.0,"Biên Hòa, Đồng Nai",1
37.0,,,,,5.0,6.0,5.0,Have certificate,,9.0,"Ba Đình, Hà Nội",0
85.0,,,,,,4.0,3.0,Have certificate,Full,6.2,"Hóc Môn, Hồ Chí Minh",0
51.7,6.0,2.5,Tây - Bắc,,2.0,4.0,2.0,Have certificate,,2.35,"Nha Trang, Khánh Hòa",0
68.5,,,,,2.0,4.0,2.0,Have certificate,Full,3.6,"Dĩ An, Bình Dương",0
28.0,,,,,5.0,3.0,3.0,Have certificate,Full,3.88,"Đống Đa, Hà Nội",0
90.0,,5.0,,,2.0,2.0,2.0,Have certificate,,3.8,"Dĩ An, Bình Dương",0
36.0,4.2,,,,5.0,,,Have certificate,,7.5,"Hai Bà Trưng, Hà Nội",0
54.6,4.2,3.0,,,2.0,2.0,2.0,Have certificate,,4.7,"Quận 8, Hồ Chí Minh",0
75.0,5.0,6.0,,,2.0,2.0,2.0,Have certificate,,3.55,"Dĩ An, Bình Dương",0
42.8,,,,,2.0,2.0,2.0,Have certificate,Full,1.85,"Thuận An, Bình Dương",0
131.0,6.0,,,,2.0,3.0,4.0,Have certificate,,9.5,"Thủ Đức, Hồ Chí Minh",0
102.5,,8.0,,,1.0,5.0,5.0,Have certificate,,3.5,"Dĩ An, Bình Dương",0
70.0,5.5,5.5,Tây,,1.0,2.0,2.0,Have certificate,,4.68,"Hải Châu, Đà Nẵng",0
80.0,4.0,3.0,Tây - Bắc,Tây - Bắc,1.0,2.0,1.0,Have certificate,,2.8,"Hồng Bàng, Hải Phòng",0
68.0,4.02,4.0,Đông,,2.0,3.0,2.0,Have certificate,Full,3.25,"Liên Chiểu, Đà Nẵng",0
60.0,5.0,,,,4.0,4.0,6.0,Have certificate,,5.5,"Dĩ An, Bình Dương",0
45.0,6.0,5.0,,,5.0,3.0,4.0,Have certificate,Full,4.8,"Bắc Từ Liêm, Hà Nội",0
44.0,,,,,5.0,4.0,2.0,Have certificate,Full,6.65,"Đống Đa, Hà Nội",0
45.0,,,,,5.0,4.0,4.0,Have certificate,,7.2,"Đống Đa, Hà Nội",0
38.0,,,,,5.0,3.0,,Have certificate,Full,5.15,"Thanh Xuân, Hà Nội",0
45.0,4.0,3.0,,,5.0,4.0,4.0,Have certificate,,6.6,"Bắc Từ Liêm, Hà Nội",0
40.0,,,,,5.0,3.0,,,,6.8,"Ba Đình, Hà Nội",0
45.0,4.5,,,,5.0,5.0,5.0,Have certificate,Full,8.9,"Đống Đa, Hà Nội",0
62.41,4.5,8.0,,,3.0,4.0,3.0,Have certificate,Full,10.0,"Bình Thạnh, Hồ Chí Minh",0
253.0,,,,,2.0,,,,,10.0,"Nhà Bè, Hồ Chí Minh",0
107.0,4.4,8.0,Tây,Tây - Nam,1.0,4.0,4.0,Have certificate,,6.5,"Thủ Đức, Hồ Chí Minh",0
42.0,4.0,2.5,Tây - Bắc,Tây - Bắc,2.0,2.0,2.0,Have certificate,Full,2.37,"Thanh Khê, Đà Nẵng",0
33.0,4.0,3.0,,,5.0,3.0,,Have certificate,,5.6,"Thanh Xuân, Hà Nội",0
64.0,,4.0,,,3.0,4.0,4.0,Have certificate,Basic,4.49,"Quận 12, Hồ Chí Minh",0
35.0,3.6,2.5,,,6.0,5.0,6.0,Have certificate,Full,6.0,"Thanh Trì, Hà Nội",0
36.5,3.6,5.0,,,2.0,2.0,2.0,Have certificate,Full,6.4,"Quận 5, Hồ Chí Minh",0
45.0,,3.0,,,5.0,4.0,4.0,Have certificate,,5.95,"Hà Đông, Hà Nội",0
45.0,7.0,3.0,,,5.0,4.0,4.0,Have certificate,,5.98,"Thanh Trì, Hà Nội",0
48.0,4.0,3.5,,,2.0,4.0,2.0,,Full,6.0,"Quận 11, Hồ Chí Minh",0
97.5,5.0,4.0,Tây - Bắc,,3.0,4.0,4.0,Have certificate,Full,8.2,"Tân Phú, Hồ Chí Minh",0
80.0,4.0,8.0,,,1.0,2.0,2.0,Have certificate,,6.7,"Tân Phú, Hồ Chí Minh",0
90.0,,,Tây,Tây,3.0,4.0,3.0,Have certificate,,5.35,"Ngũ Hành Sơn, Đà Nẵng",0
60.7,,13.0,,,3.0,3.0,4.0,Have certificate,Full,3.25,"Dĩ An, Bình Dương",1
59.0,5.2,3.5,,,3.0,3.0,3.0,Have certificate,Full,7.9,"Long Biên, Hà Nội",0
67.5,4.5,10.0,Đông - Bắc,Đông - Bắc,3.0,3.0,3.0,Have certificate,Full,4.95,"Hạ Long, Quảng Ninh",0
119.0,7.0,12.0,,,4.0,5.0,6.0,Have certificate,,10.0,"Quận 2, Hồ Chí Minh",0
44.0,3.5,,,,2.0,2.0,2.0,,,6.4,"Quận 8, Hồ Chí Minh",0
48.0,5.0,30.0,Tây - Nam,Tây - Nam,2.0,2.0,2.0,,Full,1.15,"Thuận An, Bình Dương",0
100.0,5.0,12.0,Đông - Nam,Tây - Bắc,3.0,5.0,5.0,Have certificate,,8.5,"Quận 2, Hồ Chí Minh",1
70.0,5.0,4.0,,,4.0,4.0,,Have certificate,Basic,8.3,"Tân Bình, Hồ Chí Minh",0
82.0,,,,,4.0,4.0,6.0,Have certificate,Full,7.4,"Phú Nhuận, Hồ Chí Minh",0
28.7,4.9,2.2,,,2.0,,2.0,Have certificate,,1.86,"Nha Trang, Khánh Hòa",0
64.0,10.0,10.0,,,3.0,4.0,5.0,Have certificate,,6.7,"Quận 12, Hồ Chí Minh",0
46.0,,,,,2.0,2.0,3.0,Have certificate,Full,3.7,"Bình Thạnh, Hồ Chí Minh",0
40.0,9.8,,,,4.0,3.0,3.0,Have certificate,,5.55,"Hai Bà Trưng, Hà Nội",0
64.0,,7.0,,,2.0,3.0,2.0,,,6.2,"Tân Phú, Hồ Chí Minh",0
56.0,,,,,3.0,2.0,3.0,Have certificate,Full,4.5,"Gò Vấp, Hồ Chí Minh",0
65.5,5.0,5.0,Đông - Nam,Đông - Nam,3.0,3.0,4.0,Have certificate,,7.0,"Thủ Đức, Hồ Chí Minh",0
38.0,4.0,,,,4.0,4.0,3.0,Have certificate,Full,4.5,"Cầu Giấy, Hà Nội",0
34.0,3.6,3.0,Đông,Đông,3.0,2.0,3.0,Have certificate,,5.6,"Bình Thạnh, Hồ Chí Minh",0
40.0,3.5,4.0,Đông - Nam,Đông - Nam,5.0,3.0,4.0,Have certificate,Full,5.7,"Hoàng Mai, Hà Nội",0
100.0,5.0,,Đông - Nam,,,,,Have certificate,,4.59,"Cái Răng, Cần Thơ",0
48.0,7.0,,,,2.0,4.0,,Have certificate,Full,7.4,"Bắc Từ Liêm, Hà Nội",0
200.0,,12.0,,,,,,,,6.5,"Nhà Bè, Hồ Chí Minh",0
120.0,,,,,2.0,3.0,,,,3.7,"Nhà Bè, Hồ Chí Minh",0
32.0,4.0,3.0,,,5.0,3.0,3.0,Have certificate,Full,5.35,"Long Biên, Hà Nội",0
104.0,,10.0,,,3.0,4.0,3.0,Have certificate,,5.4,"Nhà Bè, Hồ Chí Minh",0
151.6,,,,,,,,,,8.5,"Nhà Bè, Hồ Chí Minh",0
60.0,6.0,6.0,Đông - Nam,,,4.0,5.0,Have certificate,Full,6.69,"Nhà Bè, Hồ Chí Minh",0
68.0,5.5,3.0,Tây,Tây,2.0,2.0,3.0,Have certificate,Full,5.0,"Quận 8, Hồ Chí Minh",0
47.0,4.0,5.0,Tây - Bắc,,4.0,4.0,3.0,Have certificate,Full,6.06,"Quận 7, Hồ Chí Minh",0
50.0,4.0,4.0,,,5.0,3.0,3.0,Have certificate,Full,6.7,"Quận 7, Hồ Chí Minh",0
42.0,,,,,5.0,4.0,4.0,Have certificate,,5.75,"Long Biên, Hà Nội",0
45.0,5.4,3.0,,,5.0,4.0,5.0,Have certificate,Full,7.2,"Hà Đông, Hà Nội",0
60.0,5.0,3.0,,,4.0,4.0,4.0,Have certificate,Full,7.8,"Quận 7, Hồ Chí Minh",0
44.0,4.0,2.0,,,2.0,2.0,2.0,Have certificate,Full,5.1,"Quận 4, Hồ Chí Minh",0
52.0,8.6,8.0,Đông - Bắc,,4.0,4.0,3.0,Have certificate,Full,7.2,"Quận 4, Hồ Chí Minh",0
44.0,4.0,4.0,,,4.0,5.0,3.0,Have certificate,Full,7.29,"Quận 7, Hồ Chí Minh",0
40.0,,6.0,,,4.0,3.0,4.0,Have certificate,Full,6.1,"Bình Thạnh, Hồ Chí Minh",0
37.0,,,,,5.0,3.0,3.0,,Full,6.35,"Đống Đa, Hà Nội",0
35.0,,,,,4.0,3.0,,Have certificate,Full,5.6,"Đống Đa, Hà Nội",0
75.0,5.0,4.0,Tây - Bắc,Tây - Bắc,2.0,3.0,3.0,Have certificate,Full,5.6,"Gò Vấp, Hồ Chí Minh",0
30.0,4.2,2.0,,,5.0,3.0,4.0,Have certificate,Basic,4.45,"Long Biên, Hà Nội",0
65.0,5.0,25.0,Tây - Bắc,Đông - Nam,4.0,4.0,4.0,Have certificate,Basic,8.6,"Văn Giang, Hưng Yên",1
68.0,,,,,4.0,,,Have certificate,Basic,9.5,"Cầu Giấy, Hà Nội",0
45.0,,,,,,4.0,,,,8.2,"Tân Bình, Hồ Chí Minh",0
60.0,4.0,,,,5.0,5.0,4.0,Have certificate,Full,7.6,"Hà Đông, Hà Nội",0
67.0,5.0,4.0,Đông - Bắc,,3.0,3.0,3.0,Have certificate,Full,3.5,"Liên Chiểu, Đà Nẵng",0
154.0,14.0,4.0,Đông - Bắc,,,,,Have certificate,,1.7,"Đông Hòa, Phú Yên",0
72.0,4.0,5.5,Tây - Nam,Tây - Nam,2.0,3.0,2.0,Have certificate,Basic,5.8,"Sơn Trà, Đà Nẵng",0
22.0,,6.0,,,2.0,,,Have certificate,,4.9,"Bình Thạnh, Hồ Chí Minh",0
95.0,5.0,6.0,Tây - Nam,Tây - Nam,2.0,3.0,2.0,Have certificate,Basic,8.0,"Vũng Tàu, Bà Rịa Vũng Tàu",0
40.0,5.0,,,,5.0,9.0,9.0,Have certificate,Full,8.5,"Nam Từ Liêm, Hà Nội",0
40.0,4.0,,,,2.0,2.0,2.0,Have certificate,,2.7,"Hải Châu, Đà Nẵng",0
42.8,4.5,5.0,,,2.0,2.0,2.0,Have certificate,Full,1.85,"Thuận An, Bình Dương",0
90.0,5.0,20.0,Tây - Bắc,Đông - Nam,3.0,4.0,4.0,Sale contract,Basic,7.0,"Bình Chánh, Hồ Chí Minh",1
125.0,5.0,53.0,Tây - Bắc,Tây - Bắc,3.0,3.0,3.0,Have certificate,,7.5,"Rạch Giá, Kiên Giang",0
33.0,4.0,3.0,,,3.0,4.0,3.0,Have certificate,Full,4.75,"Long Biên, Hà Nội",0
48.0,4.5,3.5,,,6.0,,,Have certificate,,9.2,"Thanh Xuân, Hà Nội",0
100.0,5.0,,,,4.0,8.0,9.0,Have certificate,Full,6.8,"Ngũ Hành Sơn, Đà Nẵng",0
62.0,5.2,,,,2.0,4.0,4.0,,Basic,5.9,"Phú Nhuận, Hồ Chí Minh",0
43.0,,3.0,,,2.0,2.0,3.0,Have certificate,Full,6.6,"Hà Đông, Hà Nội",0
56.0,4.0,15.0,,,5.0,,,,Basic,7.5,"Văn Giang, Hưng Yên",1
50.0,5.7,,,,6.0,4.0,5.0,Have certificate,Full,7.6,"Đống Đa, Hà Nội",0
45.0,,,,,6.0,,,Have certificate,Basic,9.59,"Long Biên, Hà Nội",0
39.5,4.3,2.0,Đông - Nam,Đông - Nam,3.0,3.0,2.0,Have certificate,Basic,6.0,"Thanh Xuân, Hà Nội",0
72.4,,3.0,,,4.0,5.0,5.0,Have certificate,,8.6,"Bình Thạnh, Hồ Chí Minh",0
57.0,4.0,5.0,,,5.0,4.0,5.0,,Full,7.15,"Long Biên, Hà Nội",0
68.0,,5.0,,,2.0,4.0,,Have certificate,Basic,7.9,"Bình Thạnh, Hồ Chí Minh",0
34.0,3.4,,,,3.0,3.0,2.0,Have certificate,,5.2,"Ba Đình, Hà Nội",0
120.0,,,,,3.0,3.0,3.0,Have certificate,Full,2.35,"Thủ Dầu Một, Bình Dương",0
33.0,5.0,5.0,,,5.0,3.0,4.0,,Full,5.3,"Long Biên, Hà Nội",0
98.0,6.0,13.0,,,4.0,3.0,5.0,Have certificate,,8.5,"Nha Trang, Khánh Hòa",1
60.0,,12.0,,,4.0,4.0,6.0,Have certificate,Basic,5.5,"Dĩ An, Bình Dương",1
80.0,4.5,8.0,,,3.0,4.0,4.0,Have certificate,Full,7.5,"Quận 7, Hồ Chí Minh",0
61.6,,12.0,,,3.0,4.0,4.0,Have certificate,,3.6,"Thuận An, Bình Dương",0
30.0,3.7,4.0,,,4.0,4.0,5.0,Have certificate,Full,5.3,"Phú Nhuận, Hồ Chí Minh",0
135.0,,,,,,,,,,3.6,"Nhơn Trạch, Đồng Nai",1
62.0,4.0,,,,1.0,5.0,5.0,Have certificate,Basic,9.6,"Quận 7, Hồ Chí Minh",0
41.0,3.6,3.2,,,5.0,3.0,4.0,Have certificate,Full,6.5,"Ba Đình, Hà Nội",0
196.0,7.5,7.0,Tây - Nam,Tây - Nam,1.0,2.0,2.0,Have certificate,,5.5,"Hóc Môn, Hồ Chí Minh",0
22.0,,,,,3.0,3.0,2.0,Sale contract,,2.05,"Quận 7, Hồ Chí Minh",0
56.0,4.8,3.0,Nam,Nam,6.0,4.0,4.0,,Full,5.3,"Tây Hồ, Hà Nội",0
52.0,4.5,4.5,Bắc,Bắc,4.0,4.0,5.0,Have certificate,Full,7.26,"Gò Vấp, Hồ Chí Minh",0
32.0,4.0,3.0,,,5.0,4.0,3.0,Have certificate,Basic,3.6,"Bắc Từ Liêm, Hà Nội",0
45.0,,,,,5.0,5.0,,Have certificate,Full,6.5,"Đống Đa, Hà Nội",0
30.0,,,,,4.0,3.0,3.0,Have certificate,Full,5.0,"Thanh Xuân, Hà Nội",0
35.0,4.0,2.8,Đông - Nam,Đông - Nam,5.0,3.0,4.0,Have certificate,Full,3.78,"Long Biên, Hà Nội",0
40.0,,,,,5.0,4.0,5.0,Have certificate,Full,6.5,"Đống Đa, Hà Nội",0
38.0,3.3,3.0,,,4.0,4.0,3.0,Have certificate,Full,6.8,"Hai Bà Trưng, Hà Nội",0
28.0,3.0,6.0,,,2.0,2.0,2.0,Have certificate,Full,5.0,"Quận 3, Hồ Chí Minh",0
64.0,,6.0,,,,1.0,1.0,Have certificate,Basic,2.5,"Dĩ An, Bình Dương",0
64.7,,5.0,Đông - Bắc,,4.0,5.0,6.0,Have certificate,Full,7.2,"Thủ Đức, Hồ Chí Minh",0
477.0,,8.0,Đông,,,3.0,2.0,Have certificate,Basic,5.2,"Dương Minh Châu, Tây Ninh",0
30.0,4.0,3.0,,,3.0,6.0,3.0,Have certificate,Full,3.8,"Gò Vấp, Hồ Chí Minh",0
37.0,,,,,5.0,3.0,5.0,Have certificate,,6.8,"Bình Thạnh, Hồ Chí Minh",0
162.0,9.0,14.0,Đông - Nam,Đông - Nam,3.0,5.0,4.0,Sale contract,,8.2,"Vinh, Nghệ An",1
64.0,,5.0,,,3.0,4.0,4.0,Have certificate,Full,5.1,"Gò Vấp, Hồ Chí Minh",0
54.0,5.0,6.0,,,3.0,3.0,3.0,Have certificate,Full,3.85,"Thủ Đức, Hồ Chí Minh",0
31.0,,,,,,,,Have certificate,,4.2,"Long Biên, Hà Nội",0
90.0,6.0,16.0,,,3.0,,,,,3.95,"Bến Lức, Long An",1
55.0,4.4,,,,5.0,5.0,5.0,Have certificate,Full,9.0,"Đống Đa, Hà Nội",0
52.0,4.2,15.0,,,2.0,2.0,2.0,Have certificate,,8.0,"Đống Đa, Hà Nội",0
35.0,5.0,2.5,,,5.0,4.0,4.0,,,3.8,"Nam Từ Liêm, Hà Nội",0
90.0,4.2,,,,4.0,4.0,6.0,Have certificate,,8.7,"Hải An, Hải Phòng",0
30.0,3.5,,Tây,,4.0,4.0,3.0,,Full,6.25,"Tây Hồ, Hà Nội",0
61.6,4.0,12.0,,,3.0,4.0,4.0,Have certificate,Full,3.6,"Thuận An, Bình Dương",0
79.0,5.0,11.5,Tây - Bắc,Tây - Bắc,4.0,4.0,5.0,,,4.7,"Vũng Tàu, Bà Rịa Vũng Tàu",1
72.0,,12.0,,,,,,Have certificate,,8.9,"Tân Phú, Hồ Chí Minh",0
100.0,,8.0,,,4.0,,,Have certificate,,7.2,"Quận 12, Hồ Chí Minh",0
89.2,7.0,6.0,Đông,Đông,3.0,4.0,4.0,Have certificate,,9.2,"Tân Phú, Hồ Chí Minh",0
33.0,4.1,4.0,,,,1.0,1.0,Have certificate,,3.5,"Tân Phú, Hồ Chí Minh",0
33.0,3.55,2.0,,,4.0,4.0,2.0,Have certificate,Basic,3.9,"Hoàng Mai, Hà Nội",0
100.0,3.2,,,,2.0,3.0,3.0,Have certificate,Basic,7.99,"Tân Phú, Hồ Chí Minh",0
48.0,5.0,,Đông - Nam,,5.0,6.0,3.0,Sale contract,Basic,5.3,"Văn Giang, Hưng Yên",1
51.0,4.0,,,,,3.0,,,,5.8,"Tân Bình, Hồ Chí Minh",0
63.0,5.0,4.0,,,1.0,2.0,1.0,Have certificate,Basic,4.75,"Tân Phú, Hồ Chí Minh",0
70.0,6.5,40.0,Đông,Đông,3.0,4.0,4.0,Have certificate,Full,7.19,"Ngũ Hành Sơn, Đà Nẵng",0
60.0,,,,,,,,Sale contract,,4.0,"Phủ Lý, Hà Nam",1
45.0,4.35,10.0,,,6.0,4.0,5.0,Have certificate,Full,9.8,"Hoàng Mai, Hà Nội",0
94.0,,6.0,,,3.0,3.0,4.0,Have certificate,,7.9,"Thủ Đức, Hồ Chí Minh",0
35.0,7.0,2.5,Tây,Tây,2.0,2.0,2.0,Have certificate,Full,1.95,"Quận 12, Hồ Chí Minh",0
100.0,5.0,8.0,Tây - Bắc,Tây - Bắc,2.0,3.0,2.0,Have certificate,Full,4.8,"Dĩ An, Bình Dương",0
55.0,,,,,4.0,6.0,5.0,Have certificate,Full,8.5,"Cầu Giấy, Hà Nội",0
100.0,,,Đông - Bắc,,,,,,,3.7,"Sơn Trà, Đà Nẵng",0
43.0,,,,,3.0,2.0,2.0,Have certificate,Full,4.9,"Nam Từ Liêm, Hà Nội",0
45.8,,,,,5.0,4.0,4.0,Have certificate,Full,6.35,"Đống Đa, Hà Nội",0
120.0,6.0,15.0,Nam,Nam,3.0,4.0,5.0,,,9.0,"Từ Sơn, Bắc Ninh",1
64.1,4.0,,Tây,,3.0,4.0,5.0,Have certificate,,6.2,"Bình Tân, Hồ Chí Minh",0
85.0,,5.0,Đông - Nam,Đông - Nam,2.0,3.0,3.0,Have certificate,,6.1,"Vũng Tàu, Bà Rịa Vũng Tàu",0
126.0,,,Đông,,2.0,3.0,,,,5.7,"Ngũ Hành Sơn, Đà Nẵng",0
214.0,6.0,3.0,,,,2.0,2.0,Have certificate,Basic,1.9,"Bến Lức, Long An",0
85.0,4.2,12.0,,,5.0,5.0,5.0,Have certificate,Full,7.7,"Tân Bình, Hồ Chí Minh",0
90.0,4.5,6.0,,,,,,,,8.7,"Gò Vấp, Hồ Chí Minh",0
80.0,,,,,,,,,,6.4,"Gò Vấp, Hồ Chí Minh",0
67.5,4.5,4.0,,,,4.0,,Have certificate,Basic,4.3,"Tân Bình, Hồ Chí Minh",0
47.0,,4.0,,,4.0,5.0,5.0,Have certificate,,7.5,"Bình Thạnh, Hồ Chí Minh",0
102.0,,,,,3.0,3.0,3.0,,,4.5,"Thủ Dầu Một, Bình Dương",0
235.0,12.0,4.0,,,,3.0,3.0,,,4.2,"Thủ Dầu Một, Bình Dương",0
38.0,,,,,4.0,2.0,2.0,Have certificate,Full,5.35,"Hai Bà Trưng, Hà Nội",0
205.3,10.0,,,,,1.0,1.0,Have certificate,Basic,1.2,"Diên Khánh, Khánh Hòa",0
120.0,6.0,14.0,Đông - Bắc,,3.0,,,Have certificate,,6.6,"Từ Sơn, Bắc Ninh",1
120.0,6.0,26.0,Đông,,3.0,,,Have certificate,,7.3,"Từ Sơn, Bắc Ninh",1
57.0,4.4,6.0,,,3.0,4.0,3.0,Have certificate,,6.4,"Quận 6, Hồ Chí Minh",0
51.0,4.0,4.0,Tây - Nam,Tây - Nam,4.0,4.0,4.0,Have certificate,Basic,4.7,"Quận 12, Hồ Chí Minh",0
54.0,4.0,3.0,Tây - Nam,Tây - Nam,4.0,3.0,4.0,Have certificate,Full,6.35,"Gò Vấp, Hồ Chí Minh",0
110.0,5.0,7.0,,,3.0,4.0,4.0,,,7.95,"Bình Tân, Hồ Chí Minh",0
74.0,4.5,7.0,Đông - Bắc,,1.0,4.0,4.0,Have certificate,,7.3,"Quận 9, Hồ Chí Minh",0
35.0,7.0,2.5,Tây,Tây,3.0,3.0,2.0,Have certificate,Basic,3.4,"Long Biên, Hà Nội",0
35.0,7.5,2.8,Tây,Tây,3.0,3.0,2.0,Have certificate,Basic,3.4,"Long Biên, Hà Nội",0
40.0,4.0,5.0,,,2.0,2.0,1.0,Have certificate,Basic,3.7,"Tân Bình, Hồ Chí Minh",0
88.0,,,,,,,,Sale contract,,6.8,"Yên Mỹ, Hưng Yên",1
90.0,,,,,,,,Sale contract,,6.0,"Yên Mỹ, Hưng Yên",1
51.0,4.0,6.0,,,3.0,3.0,3.0,Have certificate,,4.95,"Quận 9, Hồ Chí Minh",0
67.0,5.0,,,,2.0,3.0,,,,4.3,"Quận 9, Hồ Chí Minh",0
48.0,9.0,,,,4.0,6.0,4.0,Have certificate,,6.2,"Bắc Từ Liêm, Hà Nội",0
131.6,6.0,,,,1.0,7.0,6.0,Have certificate,,7.5,"Quận 9, Hồ Chí Minh",0
45.0,4.0,2.5,,,5.0,3.0,4.0,Have certificate,Full,5.0,"Tây Hồ, Hà Nội",0
90.0,4.5,,Đông - Nam,Đông - Nam,3.0,4.0,4.0,Have certificate,Full,10.0,"Ninh Kiều, Cần Thơ",0
225.0,12.0,,Tây - Bắc,Tây - Bắc,2.0,4.0,3.0,Sale contract,,9.79,"Bến Lức, Long An",1
100.0,,5.0,,,,2.0,1.0,Have certificate,Full,4.2,"Quận 12, Hồ Chí Minh",0
45.0,3.5,20.0,,,7.0,5.0,,Have certificate,Full,10.0,"Nam Từ Liêm, Hà Nội",0
50.0,,,,,,,,Have certificate,,8.0,"Quận 3, Hồ Chí Minh",0
41.0,4.0,3.0,Đông - Bắc,Nam,7.0,9.0,9.0,Have certificate,Full,9.5,"Cầu Giấy, Hà Nội",0
70.0,,6.0,,,4.0,4.0,5.0,Have certificate,Full,7.6,"Quận 7, Hồ Chí Minh",0
99.0,5.0,,Bắc,,4.0,5.0,5.0,Have certificate,Full,7.6,"Hạ Long, Quảng Ninh",1
54.6,,,,,3.0,4.0,5.0,Have certificate,Full,5.4,"Quận 7, Hồ Chí Minh",0
45.0,,,,,5.0,6.0,4.0,Have certificate,Full,8.9,"Cầu Giấy, Hà Nội",0
40.1,4.0,8.0,Tây,Tây,1.0,2.0,1.0,Have certificate,Basic,3.6,"Bình Tân, Hồ Chí Minh",0
28.0,3.4,2.5,,,4.0,3.0,4.0,Have certificate,Full,4.65,"Thanh Xuân, Hà Nội",0
42.0,,,,,4.0,4.0,3.0,Have certificate,Full,7.95,"Ba Đình, Hà Nội",0
40.0,,,,,5.0,3.0,4.0,Have certificate,Full,8.4,"Ba Đình, Hà Nội",0
50.0,,,,,3.0,,,Have certificate,Full,6.0,"Quận 2, Hồ Chí Minh",0
99.0,5.0,,,,4.0,5.0,6.0,Have certificate,Full,7.6,"Hạ Long, Quảng Ninh",1
34.0,,,,,4.0,6.0,,Have certificate,,3.6,"Hà Đông, Hà Nội",0
68.0,4.0,,,,4.0,4.0,5.0,Have certificate,,4.9,"Bình Tân, Hồ Chí Minh",0
42.0,,,,,,,,,,4.0,"Gò Vấp, Hồ Chí Minh",0
42.0,,,,,4.0,4.0,3.0,Have certificate,Full,6.5,"Đống Đa, Hà Nội",0
