area,frontage,access_road,house_direction,balcony_direction,floors,bedrooms,bathrooms,legal_status,furniture_state,price,new_address,condo_complex
143.9,,,,,4.0,4.0,5.0,,,9.5,"Thủ Đức, Hồ Chí Minh",1
81.3,,,,,5.0,,,,,9.7,"Thường Tín, Hà Nội",1
88.0,,,,,4.0,,,Sale contract,,6.7,"Yên Mỹ, Hưng Yên",1
38.0,,,,,2.0,1.0,1.0,,,4.1,"Bình Thạnh, Hồ Chí Minh",0
40.0,4.1,6.0,Tây - Nam,Tây - Nam,4.0,3.0,4.0,Have certificate,,7.7,"Phú Nhuận, Hồ Chí Minh",0
113.0,,,,,,,,Have certificate,,6.2,"Quận 12, Hồ Chí Minh",0
150.0,5.0,29.0,Tây,Tây,2.0,,,Sale contract,,4.9,"Rạch Giá, Kiên Giang",1
69.1,4.0,4.5,Đông - Bắc,Đông - Bắc,3.0,3.0,4.0,Have certificate,Full,10.0,"Bình Thạnh, Hồ Chí Minh",0
100.0,5.0,,Đông - Nam,,3.0,5.0,3.0,,,8.1,"Quận 9, Hồ Chí Minh",1
30.0,,6.0,,,3.0,,,Have certificate,Full,7.15,"Phú Nhuận, Hồ Chí Minh",0
85.0,,,,,3.0,4.0,4.0,Have certificate,,5.9,"Tân Uyên, Bình Dương",1
54.0,,,Tây - Bắc,,,,,,,8.15,"Văn Giang, Hưng Yên",1
52.7,7.0,3.0,,,5.0,6.0,,,Full,7.6,"Bắc Từ Liêm, Hà Nội",0
73.0,5.0,,,,4.0,4.0,4.0,,,9.5,"Ba Đình, Hà Nội",0
80.0,,,,,,,,Have certificate,,10.0,"Thường Tín, Hà Nội",1
120.0,,,,,2.0,3.0,3.0,,,3.1,"Phan Thiết, Bình Thuận",1
82.5,,15.5,Tây - Bắc,,4.0,4.0,3.0,,,5.71,"An Dương, Hải Phòng",1
52.0,4.0,3.0,,,4.0,4.0,4.0,,,6.5,"Đống Đa, Hà Nội",0
45.0,6.0,3.0,,,4.0,4.0,4.0,Have certificate,,7.65,"Đống Đa, Hà Nội",0
200.0,10.0,13.0,Đông - Nam,Tây - Bắc,2.0,3.0,3.0,Sale contract,,5.6,"Phan Thiết, Bình Thuận",1
120.0,,,,,3.0,4.0,3.0,,,8.4,"Mê Linh, Hà Nội",1
64.0,4.0,,,,3.0,4.0,3.0,Have certificate,,4.7,"Quận 12, Hồ Chí Minh",0
50.0,3.7,3.5,,,5.0,7.0,6.0,Have certificate,,8.9,"Thanh Xuân, Hà Nội",0
36.0,7.0,3.0,Tây - Nam,Tây - Nam,5.0,3.0,4.0,Have certificate,Full,5.6,"Nam Từ Liêm, Hà Nội",0
